table,block
company_type,0
company_type,0
info_type,0
info_type,0
movie_companies,0
movie_companies,4022
movie_companies,4343
movie_companies,5242
movie_companies,8237
movie_companies,9204
movie_companies,9803
movie_companies,14296
movie_companies,14501
movie_companies,15069
movie_companies,17091
movie_companies,17682
movie_companies,17984
movie_info_idx,0
movie_info_idx,7934
pg_aggregate,0
pg_am,0
pg_amop,0
pg_amop,1
pg_amop,2
pg_amop,3
pg_amop,4
pg_amproc,0
pg_amproc,1
pg_amproc,2
pg_amproc,3
pg_amproc,4
pg_cast,0
pg_cast,1
pg_index,0
pg_index,1
pg_index,2
pg_index,3
pg_index,4
pg_namespace,0
pg_opclass,0
pg_opclass,1
pg_operator,0
pg_operator,1
pg_operator,2
pg_operator,3
pg_operator,4
pg_operator,5
pg_operator,6
pg_operator,7
pg_operator,8
pg_operator,9
pg_operator,10
pg_operator,11
pg_operator,12
pg_operator,13
pg_rewrite,12
pg_statistic,0
pg_statistic,6
pg_statistic,17
pg_statistic,25
pg_statistic,26
pg_statistic,28
pg_statistic,33
pg_statistic,35
pg_statistic,38
pg_statistic,44
title,0
title,1
title,24070
title,25319
title,26214
title,26961
title,28078
title,30290
title,32252
title,34166
title,34173
title,34863
