table,block
customer_demographics,0
customer_demographics,0
customer_demographics,2
customer_demographics,3
customer_demographics,8
customer_demographics,9
customer_demographics,10
customer_demographics,12
customer_demographics,15
customer_demographics,17
customer_demographics,22
customer_demographics,24
customer_demographics,25
customer_demographics,26
customer_demographics,27
customer_demographics,32
customer_demographics,33
customer_demographics,35
customer_demographics,37
customer_demographics,38
customer_demographics,40
customer_demographics,41
customer_demographics,43
customer_demographics,46
customer_demographics,47
customer_demographics,48
customer_demographics,51
customer_demographics,57
customer_demographics,59
customer_demographics,60
customer_demographics,64
customer_demographics,65
customer_demographics,66
customer_demographics,68
customer_demographics,71
customer_demographics,78
customer_demographics,80
customer_demographics,81
customer_demographics,82
customer_demographics,84
customer_demographics,85
customer_demographics,87
customer_demographics,91
customer_demographics,92
customer_demographics,93
customer_demographics,94
customer_demographics,96
customer_demographics,97
customer_demographics,98
customer_demographics,99
customer_demographics,100
customer_demographics,101
customer_demographics,102
customer_demographics,104
customer_demographics,106
customer_demographics,109
customer_demographics,110
customer_demographics,111
customer_demographics,113
customer_demographics,116
customer_demographics,117
customer_demographics,118
customer_demographics,119
customer_demographics,121
customer_demographics,122
customer_demographics,124
customer_demographics,125
customer_demographics,126
customer_demographics,128
customer_demographics,131
customer_demographics,134
customer_demographics,135
customer_demographics,136
customer_demographics,137
customer_demographics,138
customer_demographics,139
customer_demographics,141
customer_demographics,142
customer_demographics,143
customer_demographics,146
customer_demographics,148
customer_demographics,150
customer_demographics,154
customer_demographics,155
customer_demographics,156
customer_demographics,157
customer_demographics,160
customer_demographics,162
customer_demographics,163
customer_demographics,164
customer_demographics,165
customer_demographics,166
customer_demographics,167
customer_demographics,170
customer_demographics,171
customer_demographics,172
customer_demographics,173
customer_demographics,175
customer_demographics,177
customer_demographics,178
customer_demographics,180
customer_demographics,183
customer_demographics,184
customer_demographics,185
customer_demographics,186
customer_demographics,190
customer_demographics,191
customer_demographics,192
customer_demographics,194
customer_demographics,196
customer_demographics,197
customer_demographics,199
customer_demographics,202
customer_demographics,203
customer_demographics,204
customer_demographics,207
customer_demographics,209
customer_demographics,210
customer_demographics,212
customer_demographics,213
customer_demographics,214
customer_demographics,217
customer_demographics,219
customer_demographics,222
customer_demographics,224
customer_demographics,226
customer_demographics,229
customer_demographics,234
customer_demographics,235
customer_demographics,239
customer_demographics,240
customer_demographics,242
customer_demographics,245
customer_demographics,247
customer_demographics,251
customer_demographics,252
customer_demographics,255
customer_demographics,261
customer_demographics,263
customer_demographics,265
customer_demographics,267
