table,block
date_dim,0
date_dim,1
date_dim,2
date_dim,3
date_dim,4
date_dim,5
date_dim,6
date_dim,7
date_dim,8
date_dim,9
date_dim,10
date_dim,11
date_dim,12
date_dim,13
date_dim,14
date_dim,15
date_dim,16
date_dim,17
date_dim,18
date_dim,19
date_dim,20
date_dim,21
date_dim,22
date_dim,23
date_dim,24
date_dim,25
date_dim,26
date_dim,27
date_dim,28
date_dim,29
date_dim,30
date_dim,31
date_dim,32
date_dim,33
date_dim,34
date_dim,35
date_dim,36
date_dim,37
date_dim,38
date_dim,39
date_dim,40
date_dim,41
date_dim,42
date_dim,43
date_dim,44
date_dim,45
date_dim,46
date_dim,47
date_dim,48
date_dim,49
date_dim,50
date_dim,51
date_dim,52
date_dim,53
date_dim,54
date_dim,55
date_dim,56
date_dim,57
date_dim,58
date_dim,59
date_dim,60
date_dim,61
date_dim,62
date_dim,63
date_dim,64
date_dim,65
date_dim,66
date_dim,67
date_dim,68
date_dim,69
date_dim,70
date_dim,71
date_dim,72
date_dim,73
date_dim,74
date_dim,75
date_dim,76
date_dim,77
date_dim,78
date_dim,79
date_dim,80
date_dim,81
date_dim,82
date_dim,83
date_dim,84
date_dim,85
date_dim,86
date_dim,87
date_dim,88
date_dim,89
date_dim,90
date_dim,91
date_dim,92
date_dim,93
date_dim,94
date_dim,95
date_dim,96
date_dim,97
date_dim,98
date_dim,99
date_dim,100
date_dim,101
date_dim,102
date_dim,103
date_dim,104
date_dim,105
date_dim,106
date_dim,107
date_dim,108
date_dim,109
date_dim,110
date_dim,111
date_dim,112
date_dim,113
date_dim,114
date_dim,115
date_dim,116
date_dim,117
date_dim,118
date_dim,119
date_dim,120
date_dim,121
date_dim,122
date_dim,123
date_dim,124
date_dim,125
date_dim,126
date_dim,127
date_dim,128
date_dim,129
date_dim,130
date_dim,131
date_dim,132
date_dim,133
date_dim,134
date_dim,135
date_dim,136
date_dim,137
date_dim,138
date_dim,139
date_dim,140
date_dim,141
date_dim,142
date_dim,143
date_dim,144
date_dim,145
date_dim,146
date_dim,147
date_dim,148
date_dim,149
date_dim,150
date_dim,151
date_dim,152
date_dim,153
date_dim,154
date_dim,155
date_dim,156
date_dim,157
date_dim,158
date_dim,159
date_dim,160
date_dim,161
date_dim,162
date_dim,163
date_dim,164
date_dim,165
date_dim,166
date_dim,167
date_dim,168
date_dim,169
date_dim,170
date_dim,171
date_dim,172
date_dim,173
date_dim,174
date_dim,175
date_dim,176
date_dim,177
date_dim,178
date_dim,179
date_dim,180
date_dim,181
date_dim,182
date_dim,183
date_dim,184
date_dim,185
date_dim,186
date_dim,187
date_dim,188
date_dim,189
date_dim,190
date_dim,191
date_dim,192
date_dim,193
date_dim,194
date_dim,195
date_dim,196
date_dim,197
date_dim,198
date_dim,199
date_dim,200
date_dim,201
date_dim,202
date_dim,203
date_dim,204
date_dim,205
date_dim,206
date_dim,207
date_dim,208
date_dim,209
date_dim,210
date_dim,211
date_dim,212
date_dim,213
date_dim,214
date_dim,215
date_dim,216
date_dim,217
date_dim,218
date_dim,219
date_dim,220
date_dim,221
date_dim,222
date_dim,223
date_dim,224
date_dim,225
date_dim,226
date_dim,227
date_dim,228
date_dim,229
date_dim,230
date_dim,231
date_dim,232
date_dim,233
date_dim,234
date_dim,235
date_dim,236
date_dim,237
date_dim,238
date_dim,239
date_dim,240
date_dim,241
date_dim,242
date_dim,243
date_dim,244
date_dim,245
date_dim,246
date_dim,247
date_dim,248
date_dim,249
date_dim,250
date_dim,251
date_dim,252
date_dim,253
date_dim,254
date_dim,255
date_dim,256
date_dim,257
date_dim,258
date_dim,259
date_dim,260
date_dim,261
date_dim,262
date_dim,263
date_dim,264
date_dim,265
date_dim,266
date_dim,267
date_dim,268
date_dim,269
date_dim,270
date_dim,271
date_dim,272
date_dim,273
date_dim,274
date_dim,275
date_dim,276
date_dim,277
date_dim,278
date_dim,279
date_dim,280
date_dim,281
date_dim,282
date_dim,283
date_dim,284
date_dim,285
date_dim,286
date_dim,287
date_dim,288
date_dim,289
date_dim,290
date_dim,291
date_dim,292
date_dim,293
date_dim,294
date_dim,295
date_dim,296
date_dim,297
date_dim,298
date_dim,299
date_dim,300
date_dim,301
date_dim,302
date_dim,303
date_dim,304
date_dim,305
date_dim,306
date_dim,307
date_dim,308
date_dim,309
date_dim,310
date_dim,311
date_dim,312
date_dim,313
date_dim,314
date_dim,315
date_dim,316
date_dim,317
date_dim,318
date_dim,319
date_dim,320
date_dim,321
date_dim,322
date_dim,323
date_dim,324
date_dim,325
date_dim,326
date_dim,327
date_dim,328
date_dim,329
date_dim,330
date_dim,331
date_dim,332
date_dim,333
date_dim,334
date_dim,335
date_dim,336
date_dim,337
date_dim,338
date_dim,339
date_dim,340
date_dim,341
date_dim,342
date_dim,343
date_dim,344
date_dim,345
date_dim,346
date_dim,347
date_dim,348
date_dim,349
date_dim,350
date_dim,351
date_dim,352
date_dim,353
date_dim,354
date_dim,355
date_dim,356
date_dim,357
date_dim,358
date_dim,359
date_dim,360
date_dim,361
date_dim,362
date_dim,363
date_dim,364
date_dim,365
date_dim,366
date_dim,367
date_dim,368
date_dim,369
date_dim,370
date_dim,371
date_dim,372
date_dim,373
date_dim,374
date_dim,375
date_dim,376
date_dim,377
date_dim,378
date_dim,379
date_dim,380
date_dim,381
date_dim,382
date_dim,383
date_dim,384
date_dim,385
date_dim,386
date_dim,387
date_dim,388
date_dim,389
date_dim,390
date_dim,391
date_dim,392
date_dim,393
date_dim,394
date_dim,395
date_dim,396
date_dim,397
date_dim,398
date_dim,399
date_dim,400
date_dim,401
date_dim,402
date_dim,403
date_dim,404
date_dim,405
date_dim,406
date_dim,407
date_dim,408
date_dim,409
date_dim,410
date_dim,411
date_dim,412
date_dim,413
date_dim,414
date_dim,415
date_dim,416
date_dim,417
date_dim,418
date_dim,419
date_dim,420
date_dim,421
date_dim,422
date_dim,423
date_dim,424
date_dim,425
date_dim,426
date_dim,427
date_dim,428
date_dim,429
date_dim,430
date_dim,431
date_dim,432
date_dim,433
date_dim,434
date_dim,435
date_dim,436
date_dim,437
date_dim,438
date_dim,439
date_dim,440
date_dim,441
date_dim,442
date_dim,443
date_dim,444
date_dim,445
date_dim,446
date_dim,447
date_dim,448
date_dim,449
date_dim,450
date_dim,451
date_dim,452
date_dim,453
date_dim,454
date_dim,455
date_dim,456
date_dim,457
date_dim,458
date_dim,459
date_dim,460
date_dim,461
date_dim,462
date_dim,463
date_dim,464
date_dim,465
date_dim,466
date_dim,467
date_dim,468
date_dim,469
date_dim,470
date_dim,471
date_dim,472
date_dim,473
date_dim,474
date_dim,475
date_dim,476
date_dim,477
date_dim,478
date_dim,479
date_dim,480
date_dim,481
date_dim,482
date_dim,483
date_dim,484
date_dim,485
date_dim,486
date_dim,487
date_dim,488
date_dim,489
date_dim,490
date_dim,491
date_dim,492
date_dim,493
date_dim,494
date_dim,495
date_dim,496
date_dim,497
date_dim,498
date_dim,499
date_dim,500
date_dim,501
date_dim,502
date_dim,503
date_dim,504
date_dim,505
date_dim,506
date_dim,507
date_dim,508
date_dim,509
date_dim,510
date_dim,511
date_dim,512
date_dim,513
date_dim,514
date_dim,515
date_dim,516
date_dim,517
date_dim,518
date_dim,519
date_dim,520
date_dim,521
date_dim,522
date_dim,523
date_dim,524
date_dim,525
date_dim,526
date_dim,527
date_dim,528
date_dim,529
date_dim,530
date_dim,531
date_dim,532
date_dim,533
date_dim,534
date_dim,535
date_dim,536
date_dim,537
date_dim,538
date_dim,539
date_dim,540
date_dim,541
date_dim,542
date_dim,543
date_dim,544
date_dim,545
date_dim,546
date_dim,547
date_dim,548
date_dim,549
date_dim,550
date_dim,551
date_dim,552
date_dim,553
date_dim,554
date_dim,555
date_dim,556
date_dim,557
date_dim,558
date_dim,559
date_dim,560
date_dim,561
date_dim,562
date_dim,563
date_dim,564
date_dim,565
date_dim,566
date_dim,567
date_dim,568
date_dim,569
date_dim,570
date_dim,571
date_dim,572
date_dim,573
date_dim,574
date_dim,575
date_dim,576
date_dim,577
date_dim,578
date_dim,579
date_dim,580
date_dim,581
date_dim,582
date_dim,583
date_dim,584
date_dim,585
date_dim,586
date_dim,587
date_dim,588
date_dim,589
date_dim,590
date_dim,591
date_dim,592
date_dim,593
date_dim,594
date_dim,595
date_dim,596
date_dim,597
date_dim,598
date_dim,599
date_dim,600
date_dim,601
date_dim,602
date_dim,603
date_dim,604
date_dim,605
date_dim,606
date_dim,607
date_dim,608
date_dim,609
date_dim,610
date_dim,611
date_dim,612
date_dim,613
date_dim,614
date_dim,615
date_dim,616
date_dim,617
date_dim,618
date_dim,619
date_dim,620
date_dim,621
date_dim,622
date_dim,623
date_dim,624
date_dim,625
date_dim,626
date_dim,627
date_dim,628
date_dim,629
date_dim,630
date_dim,631
date_dim,632
date_dim,633
date_dim,634
date_dim,635
date_dim,636
date_dim,637
date_dim,638
date_dim,639
date_dim,640
date_dim,641
date_dim,642
date_dim,643
date_dim,644
date_dim,645
date_dim,646
date_dim,647
date_dim,648
date_dim,649
date_dim,650
date_dim,651
date_dim,652
date_dim,653
date_dim,654
date_dim,655
date_dim,656
date_dim,657
date_dim,658
date_dim,659
date_dim,660
date_dim,661
date_dim,662
date_dim,663
date_dim,664
date_dim,665
date_dim,666
date_dim,667
date_dim,668
date_dim,669
date_dim,670
date_dim,671
date_dim,672
date_dim,673
date_dim,674
date_dim,675
date_dim,676
date_dim,677
date_dim,678
date_dim,679
date_dim,680
date_dim,681
date_dim,682
date_dim,683
date_dim,684
date_dim,685
date_dim,686
date_dim,687
date_dim,688
date_dim,689
date_dim,690
date_dim,691
date_dim,692
date_dim,693
date_dim,694
date_dim,695
date_dim,696
date_dim,697
date_dim,698
date_dim,699
date_dim,700
date_dim,701
date_dim,702
date_dim,703
date_dim,704
date_dim,705
date_dim,706
date_dim,707
date_dim,708
date_dim,709
date_dim,710
date_dim,711
date_dim,712
date_dim,713
date_dim,714
date_dim,715
date_dim,716
date_dim,717
date_dim,718
date_dim,719
date_dim,720
date_dim,721
date_dim,722
date_dim,723
inventory,0
inventory,6
inventory,12
inventory,19
inventory,25
inventory,32
inventory,38
inventory,44
inventory,51
inventory,57
inventory,64
inventory,70
inventory,77
inventory,83
inventory,89
inventory,96
inventory,109
inventory,115
inventory,122
inventory,128
inventory,134
inventory,141
inventory,147
inventory,154
inventory,160
inventory,166
inventory,173
inventory,179
inventory,186
inventory,192
inventory,199
inventory,205
inventory,211
inventory,218
inventory,224
inventory,231
inventory,237
inventory,244
inventory,250
inventory,256
inventory,263
inventory,269
inventory,276
inventory,282
inventory,288
inventory,295
inventory,301
inventory,308
inventory,314
inventory,321
inventory,327
inventory,333
inventory,340
inventory,346
inventory,353
inventory,359
inventory,366
inventory,372
inventory,378
inventory,385
inventory,391
inventory,398
inventory,404
inventory,410
inventory,417
inventory,423
inventory,430
inventory,436
inventory,443
inventory,449
inventory,455
inventory,462
inventory,468
inventory,475
inventory,481
inventory,488
inventory,494
inventory,500
inventory,507
inventory,513
inventory,520
inventory,526
inventory,532
inventory,539
inventory,545
inventory,552
inventory,558
inventory,565
inventory,571
inventory,577
inventory,584
inventory,590
inventory,597
inventory,603
inventory,610
inventory,616
inventory,622
inventory,629
inventory,635
inventory,642
inventory,648
inventory,655
inventory,661
inventory,667
inventory,674
inventory,680
inventory,687
inventory,693
inventory,699
inventory,706
inventory,712
inventory,719
inventory,725
inventory,732
inventory,738
inventory,744
inventory,751
inventory,757
inventory,764
inventory,770
inventory,777
inventory,783
inventory,789
inventory,796
inventory,802
inventory,809
inventory,815
inventory,821
inventory,828
inventory,834
inventory,841
inventory,847
inventory,854
inventory,860
inventory,866
inventory,873
inventory,879
inventory,886
inventory,892
inventory,899
inventory,905
inventory,911
inventory,918
inventory,924
inventory,931
inventory,937
inventory,943
inventory,950
inventory,956
inventory,963
inventory,969
inventory,976
inventory,982
inventory,988
inventory,1008
inventory,1014
inventory,1021
inventory,1027
inventory,1033
inventory,1040
inventory,1046
inventory,1053
inventory,1059
inventory,1065
inventory,1072
inventory,1078
inventory,1085
inventory,1091
inventory,1098
inventory,1104
inventory,1110
inventory,1117
inventory,1123
inventory,1130
inventory,1136
inventory,1143
inventory,1149
inventory,1155
inventory,1162
inventory,1168
inventory,1175
inventory,1181
inventory,1194
inventory,1200
inventory,1207
inventory,1213
inventory,1220
inventory,1226
inventory,1232
inventory,1239
inventory,1245
inventory,1252
inventory,1258
inventory,1265
inventory,1271
inventory,1277
inventory,1284
inventory,1290
inventory,1297
inventory,1303
inventory,1310
inventory,1316
inventory,1322
inventory,1329
inventory,1335
inventory,1342
inventory,1348
inventory,1354
inventory,1361
inventory,1367
inventory,1374
inventory,1380
inventory,1387
inventory,1393
inventory,1399
inventory,1406
inventory,1412
inventory,1419
inventory,1425
inventory,1432
inventory,1438
inventory,1444
inventory,1451
inventory,1457
inventory,1464
inventory,1470
inventory,1476
inventory,1483
inventory,1489
inventory,1496
inventory,1502
inventory,1509
inventory,1515
inventory,1521
inventory,1528
inventory,1534
inventory,1541
inventory,1547
inventory,1554
inventory,1560
inventory,1566
inventory,1573
inventory,1579
inventory,1586
inventory,1592
inventory,1598
inventory,1605
inventory,1611
inventory,1618
inventory,1624
inventory,1631
inventory,1637
inventory,1643
inventory,1650
inventory,1656
inventory,1663
inventory,1669
inventory,1676
inventory,1682
inventory,1688
inventory,1695
inventory,1701
inventory,1708
inventory,1714
inventory,1720
inventory,1727
inventory,1733
inventory,1740
inventory,1746
inventory,1753
inventory,1759
inventory,1765
inventory,1772
inventory,1778
inventory,1785
inventory,1791
inventory,1798
inventory,1804
inventory,1810
inventory,1817
inventory,1823
inventory,1830
inventory,1836
inventory,1843
inventory,1849
inventory,1855
inventory,1862
inventory,1868
inventory,1875
inventory,1881
inventory,1887
inventory,1894
inventory,1900
inventory,1907
inventory,1913
inventory,1920
inventory,1926
inventory,1932
inventory,1939
inventory,1945
inventory,1952
inventory,1958
inventory,1965
inventory,1971
inventory,1977
