table,block
part,0
part,0
part,1
part,1
part,2
part,3
part,4
part,5
part,6
part,7
part,8
part,9
part,10
part,11
part,12
part,13
part,14
part,15
part,16
part,17
part,18
part,19
part,20
part,21
part,22
part,23
part,24
part,25
part,26
part,27
part,28
part,29
part,30
part,31
part,32
part,33
part,34
part,35
part,36
part,37
part,38
part,39
part,40
part,41
part,42
part,43
part,44
part,45
part,46
part,47
part,48
part,49
part,50
part,51
part,52
part,53
part,54
part,55
part,56
part,57
part,58
part,59
part,60
part,61
part,62
part,63
part,64
part,65
part,66
part,67
part,68
part,69
part,70
part,71
part,72
part,73
part,74
part,75
part,76
part,77
part,78
part,79
part,80
part,81
part,82
part,83
part,84
part,85
part,86
part,87
part,88
part,89
part,90
part,91
part,92
part,93
part,94
part,95
part,96
part,97
part,98
part,99
part,100
part,101
part,102
part,103
part,104
part,105
part,106
part,107
part,108
part,109
part,110
part,111
part,112
part,113
part,114
part,115
part,116
part,117
part,118
part,119
part,120
part,121
part,122
part,123
part,124
part,125
part,126
part,127
part,128
part,129
part,130
part,131
part,132
part,133
part,134
part,135
part,136
part,137
part,138
part,139
part,140
part,141
part,142
part,143
part,144
part,145
part,146
part,147
part,148
part,149
part,150
part,151
part,152
part,153
part,154
part,155
part,156
part,157
part,158
part,159
part,160
part,161
part,162
part,163
part,164
part,165
part,166
part,167
part,168
part,169
part,170
part,171
part,172
part,173
part,174
part,175
part,176
part,177
part,178
part,179
part,180
part,181
part,182
part,183
part,184
part,185
part,186
part,187
part,188
part,189
part,190
part,191
part,192
part,193
part,194
part,195
part,196
part,197
part,198
part,199
part,200
part,201
part,202
part,203
part,204
part,205
part,206
part,207
part,208
part,209
part,210
part,211
part,212
part,213
part,214
part,215
part,216
part,217
part,218
part,219
part,220
part,221
part,222
part,223
part,224
part,225
part,226
part,227
part,228
part,229
part,230
part,231
part,232
part,233
part,234
part,235
part,236
part,237
part,238
part,239
part,240
part,241
part,242
part,243
part,244
part,245
part,246
part,247
part,248
part,249
part,250
part,251
part,252
part,253
part,254
part,255
part,256
part,257
part,258
part,259
part,260
part,261
part,262
part,263
part,264
part,265
part,266
part,267
part,268
part,269
part,270
part,271
part,272
part,273
part,274
part,275
part,276
part,277
part,278
part,279
part,280
part,281
part,282
part,283
part,284
part,285
part,286
part,287
part,288
part,289
part,290
part,291
part,292
part,293
part,294
part,295
part,296
part,297
part,298
part,299
part,300
